'district_name, area_rice,area_shrimp,area_rice_other,area_fruit,area_annualcrops'
district_name, area_rice,area_shrimp,area_rice_other,area_fruit,area_annualcrops
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
nil,23824.0,192.0,0.0,272.0,240.0
nil,13088.0,96.0,0.0,7024.0,96.0
nil,10992.0,18400.0,1264.0,288.0,448.0
nil,24432.0,4736.0,272.0,352.0,688.0
nil,96.0,31744.0,2208.0,880.0,1616.0
nil,0.0,1056.0,0.0,1680.0,9040.0
nil,17888.0,112.0,0.0,944.0,640.0
nil,23104.0,512.0,16.0,1072.0,2656.0
nil,4576.0,128.0,0.0,592.0,192.0
nil,18352.0,32.0,416.0,592.0,544.0
nil,18544.0,32.0,16.0,544.0,80.0
